Post ID,POST,Share Count,comment id,TEXT,data__comments__data__like_count,data__comments__paging__cursors__before,data__comments__paging__cursors__after,paging__cursors__before,paging__cursors__after,paging__next,data__comments__data__live_broadcast_timestamp,data__sharedposts__data__id,data__sharedposts__data__name,data__sharedposts__paging__cursors__before,data__sharedposts__paging__cursors__after,data__sharedposts__paging__next,data__comments__paging__next,data__comments__data__reactions__data__id,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - report_spam_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - report_spam_clicks
,,,180497573580856_180529096911037,Gisela 😉,0,,,,,,,,,,,,,,6678,6678,0,8857,8857,0,186,170,218,6,6,8247,6173,0,0,167,0,0,0,0,1071,1121,0,0,0,116350,,23,1,,23,1,169,1,,,217,1,,,4,2,,4,2,
,,,180497573580856_180543600242920,Eli Sanchez😎,0,,,,,,,,,,,,,,9292,9292,0,12255,12255,0,182,131,145,7,7,10714,8228,0,0,161,0,0,0,0,0,0,0,0,0,0,16,51,1,16,54,1,25,110,,,32,113,,,4,3,,4,3,
,,,180497573580856_180552303575383,Césarock Villegas,0,,,,,,,,,,,,,,6841,6841,0,8805,8805,0,90,57,63,4,4,7939,6075,0,0,73,0,0,0,0,0,0,0,0,0,0,6,34,,6,34,,19,40,,,22,41,,,1,3,,1,3,
,,,180497573580856_180553703575243,Buenas tardes vamos a entrar alas salas mañana ala hora q dice ahi en el aviso,0,,,,,,,,,,,,,,10383,10383,0,13963,13963,0,425,291,328,10,11,11067,8390,0,0,328,0,0,0,0,0,0,0,0,0,0,30,161,7,31,165,10,83,219,,,103,225,,,5,5,1,5,5,1
,,,180497573580856_180628260234454,Y es obligatorio??,0,,,,,,,,,,,,,,7588,7588,0,10871,10871,0,517,439,694,3,3,6273,4399,0,0,323,254,274,0,0,2772,3168,0,0,6874,116350,53,95,2,57,108,2,326,2,,250,417,2,,275,,3,,,3,
109037004060247_177025927261354,"Convocatoria dirigida a padres de familia y estudiantes \n\n¡Buen día Padres de Familia y/ o estudiantes! Les compartimos esta convocatoria. \nNuestra escuela secundaria Técnica 16 fue seleccionada para participar en el programa FORTASEG 2020, para prevenir la violencia escolar, por ello, se realizarán diferentes actividades como:\n-La realización de un diagnóstico inicial (con padres de familia, alumnos y docentes)\n-Talleres de prevención de violenciay acoso escolar, sexual y cibernético.\n-Actividades recreativas.\n\n¡Si tu hijo/hija o tu cómo estudiante participas en estas 3 actividades concursarás para ganarte una de las 6 tabletas que sortearemos al finalizar las actividades!\n\nPara iniciar con la primera actividad (diagnóstico inicial) es importante que nos mandes un mensaje con tu dirección, una de nuestras colaboradoras asistirá a tu domicilio con un gaffete de identificación, ahí te brindarán información básica del proyecto, y aplicarán un breve cuestionario el cual tiene una duración máxima de 10 minutos.\nUna vez contestado el cuestionario se les brindará información mediante el whatsapp sobre las siguientes actividades para continuar participando en el sorteo.\n*Es necesario que se firme un consentimiento por parte del padre o tutor para que el alumno pueda participar\n\nPuedes enviar tu domicilio al número: 3320576146 ó al 3310258665",18,,,,,,,,,,,,,,,,,10379,10379,0,14118,14118,0,233,129,145,4,4,12117,8922,0,0,188,0,0,0,0,0,0,0,0,0,0,24,115,1,24,120,1,70,62,,,81,64,,,2,2,,2,2,
109037004060247_176482950648985,"Atención a la comunidad estudiantil, les dejamos el tutorial para contestar los exámenes digitales, LOS CUÁLES SE PUBLICARÁN SUS LINKS EL DÍA DE MAÑANA 17 de Septiembre, DESDE LAS 7:50AM HASTA LAS 5:00PM, EN ÉSTA PÁGINA PARA AMBOS TURNOS Y TODOS LOS GRADOS. \n\nSon 2 exámenes para todos los grados y los dos turnos, el examen académico con 100 preguntas y el examen socioemocional con 50 preguntas. OBLIGATORIOS para que organicen sus tiempos.\n\nPRIMER GRADO LEAN TODAS LAS INDICACIONES Y VEAN TODO EL TUTORIAL.\n\nNO SE PUBLICARÁN EN LOS GRUPOS.\n\nSe les pide vean el tutorial completo y presten atención ya que como se ha mencionado, no habrá segundas oportunidades para realizarlo, sin excepciones. \n\nSON LOS MISMOS PASOS INDEPENDIENTEMENTE DE LA FECHA, 2DO Y 3ER GRADO YA LO SABEN USAR, SE CONTESTAN IGUAL QUE LOS EXÁMENES QUE PRESENTARON EN JUNIO.\n\nTodas las dudas se aclaran en el tutorial.",22,176482950648985_176483927315554,Alexa Ramirez Lupita Ramirez Mary Ramirez,1,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGMyTkRnek9USTNNekUxTlRVME9qRTJNREF5TnpNMU5qaz0ZD,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGMyTnpRNE9EUTNNamc1TURZAeU9qRTJNREF6TlRrek5qQT0ZD,,,,0,,,,,,,,9265,9265,0,13396,13396,0,136,93,114,7,7,11068,7810,0,0,108,0,0,0,0,0,0,0,0,0,0,12,53,1,12,53,1,33,64,,,50,64,,,3,4,,3,4,
,,,176482950648985_176484437315503,Adam Sandoval,0,,,,,,0,,,,,,,,7929,7929,0,11087,11087,0,129,87,114,9,9,8682,6219,0,0,80,0,0,0,0,0,0,0,0,0,0,13,52,,14,56,,54,38,,,75,39,,,2,7,,2,7,
,,,176482950648985_176487873981826,Sainh Arturo Mimientzi,0,,,,,,0,,,,,,,,7651,7651,0,10014,10014,0,224,205,273,4,4,9436,7070,0,0,212,0,0,0,0,1489,1575,0,0,0,39214,,34,4,,34,6,199,15,,,257,16,,,1,3,,1,3,
,,,176482950648985_176489783981635,.,0,,,,,,0,,,,,,,,17968,17968,0,25122,25122,0,1033,811,1153,11,11,16648,12398,0,0,611,0,0,0,0,0,0,0,0,0,0,43,256,14,48,262,20,531,398,,,734,419,,,5,6,,5,6,
,,,176482950648985_176502290647051,Valeria Ramírez,0,,,,,,0,,,,,,,,6046,6046,0,8456,8456,0,124,81,98,2,2,7117,4785,0,0,108,0,0,0,0,0,0,0,0,0,0,18,50,,20,50,,27,61,,,36,62,,,1,1,,1,1,
,,,176482950648985_176502793980334,Andrés Ramón Rivas,0,,,,,,0,,,,,,,,4891,4891,0,6543,6543,0,150,133,182,1,1,6268,4714,0,0,142,97,98,0,0,426,0,0,0,0,0,,27,1,24,29,1,129,8,,,172,10,,,,1,,,1,
,,,176482950648985_176514897312457,Saul Rivas,0,,,,,,0,,,,,,,,11853,11853,0,16540,16540,0,314,145,169,6,6,12918,9457,0,0,239,0,0,0,0,0,0,0,0,0,0,37,186,1,38,190,2,80,74,,,92,77,,,1,5,,1,5,
,,,176482950648985_176517370645543,Maria Garcia,0,,,,,,0,,,,,,,,9708,9708,0,13349,13349,0,143,99,122,3,3,11695,8707,0,0,101,0,0,0,0,0,0,0,0,0,0,13,54,1,16,58,2,49,29,33,,57,30,35,,1,2,,1,2,
,,,176482950648985_176519340645346,Maria Rayas,0,,,,,,0,,,,,,,,6718,6718,0,9054,9054,0,93,57,66,2,2,8037,5990,0,0,77,0,0,0,0,0,0,0,0,0,0,11,41,,13,41,,26,32,,,33,33,,,1,1,,1,1,
,,,176482950648985_176615057302441,Ok\nGracias,0,,,,,,0,,,,,,,,8635,8635,0,11860,11860,0,112,75,87,7,7,10763,7865,0,0,104,0,0,0,0,0,0,0,0,0,0,9,38,1,9,39,1,21,55,,,28,59,,,3,4,,3,4,
,,,176482950648985_176748847289062,Ok \nGrasias,0,,,,,,0,,,,,,,,8108,8108,0,11487,11487,0,135,87,111,5,8,9581,6749,0,0,107,0,0,0,0,0,0,0,0,0,0,14,71,,14,73,,43,49,,,54,57,,,1,7,,1,4,
109037004060247_176220834008530,IMPORTANTE. A toda la comunidad educativa,50,176220834008530_176223804008233,Adam Sandoval,0,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGMyTWpJek9EQTBNREE0TWpNek9qRTJNREF4T1RNeE1qYz0ZD,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGMyTkRnek1qazNNekUxTmpFM09qRTJNREF5TnpNek5EVT0ZD,,,,,,,,,,,,13322,13322,0,18490,18490,0,340,208,231,6,6,14069,10136,0,0,227,0,0,0,0,0,0,0,0,0,0,34,158,3,37,167,4,120,95,,,134,97,,,4,2,,4,2,
,,,176220834008530_176225797341367,Julia Rivas Saul Rivas,1,,,,,,,,,,,,,,12004,12004,0,17009,17009,0,543,459,625,8,8,12226,8817,0,0,291,0,0,0,0,0,0,0,0,0,0,10,105,25,11,115,34,279,217,,,384,241,,,5,3,,5,3,
,,,176220834008530_176230647340882,Giovanni Martinez Santana,0,,,,,,,,,,,,,,6155,6155,0,8337,8337,0,51,33,40,2,2,7715,5697,0,0,44,0,0,0,0,0,0,0,0,0,0,2,23,1,2,25,1,17,16,,,22,18,,,,2,,,2,
,,,176220834008530_176314060665874,Como se le va a ASER para entrar,0,,,,,,,,,,,,,,8051,8051,0,10947,10947,0,148,108,127,5,5,9710,7126,0,0,132,0,0,0,0,0,0,0,0,0,0,17,49,,18,51,,43,71,,,53,74,,,3,2,,3,2,
,,,176220834008530_176483297315617,YA ESTÁ PUBLICADO EL TUTORIAL,1,,,,,,,,,,,,,,9466,9466,0,12617,12617,0,288,208,259,9,9,9717,7205,0,0,202,0,0,0,0,0,0,0,0,0,0,13,106,4,15,109,6,125,109,,,147,112,,,2,7,,2,7,
109037004060247_174928040804476,Descanse en paz,1,174928040804476_174928914137722,"Mi más sentido pésame, mis oraciones para que encuentren fortaleza y pronta resignación.🙏🙏",0,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGMwT1RJNE9URTBNVE0zTnpJeU9qRTFPVGszTlRZAek9UUT0ZD,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGMxTWpBd09URXdOemMzTVRnNU9qRTFPVGs0TkRjNU5EYz0ZD,,,,,,,,,,,,5737,5737,0,7700,7700,0,27,20,23,4,4,7209,5352,0,0,24,0,0,0,0,0,0,0,0,0,0,1,9,,1,9,,14,6,,,17,6,,,2,2,,2,2,
,,,174928040804476_174930157470931,Dios le de mucha fortaleza a Veronica Soto Mendez y su familia. ,0,,,,,,,,,,,,,,2052,2052,0,2530,2530,0,119,112,140,5,5,2305,1902,0,0,107,0,0,0,0,1339,1419,0,0,0,30393,,14,,,14,,112,,,,140,,,,3,2,,3,2,
,,,174928040804476_174930270804253,"Mi más sentido pésame Vero Soto!¡! Te mando un fuerte abrazo,",0,,,,,,,,,,,,,,9733,9733,0,13677,13677,0,336,227,287,12,12,10433,7691,0,0,222,0,0,0,0,0,0,0,0,0,0,28,126,9,29,128,11,110,139,,,141,146,,,4,8,,4,8,
,,,174928040804476_174938844136729,QEPD,0,,,,,,,,,,,,,,2497,2497,0,2910,2910,0,95,78,93,3,3,2670,2285,0,0,88,0,0,0,0,1056,1162,0,0,0,58238,,22,,,22,,77,4,,,88,5,,,,3,,,3,
,,,174928040804476_174945487469398,Mi más sentido pésame.,0,,,,,,,,,,,,,,7068,7068,0,9964,9964,0,131,98,123,4,4,8773,6278,0,0,106,0,0,0,0,0,0,0,0,0,0,11,40,1,12,41,1,40,65,,,52,71,,,1,3,,1,3,
,,,174928040804476_174953190801961,Lo siento mucho... Envío mi más sentido pésame para ella y para toda su amada familia!!! ✨\nDios los bendiga y les de consuelo en sus corazones ❤️🙏,0,,,,,,,,,,,,,,10539,10539,0,14367,14367,0,214,138,171,4,4,12721,9439,0,0,182,0,0,0,0,0,0,0,0,0,0,13,103,2,16,109,2,71,75,,,87,84,,,1,3,,1,3,
,,,174928040804476_174966314133982,Mi más sentido pésame 🙏🙏,0,,,,,,,,,,,,,,11752,11752,0,16225,16225,0,144,94,122,2,2,14196,10167,0,0,120,0,0,0,0,0,0,0,0,0,0,24,58,1,24,61,1,38,58,,,57,65,,,,2,,,2,
,,,174928040804476_175127280784552,Dios les de fortaleza y pronta resignación,0,,,,,,,,,,,,,,14685,14685,0,20533,20533,0,490,355,494,7,7,17068,12197,0,0,395,0,0,0,0,0,0,0,0,0,0,29,184,4,31,186,5,151,259,,,195,299,,,4,3,,4,3,
,,,174928040804476_175200900777190,Descanse en pas,0,,,,,,,,,,,,,,8126,8126,0,11223,11223,0,107,75,84,5,5,10044,7284,0,0,90,0,0,0,0,0,0,0,0,0,0,14,33,,15,36,,25,52,,,31,53,,,,5,,,5,
,,,174928040804476_175200910777189,Así sea ,0,,,,,,,,,,,,,,5674,5674,0,8003,8003,0,136,71,93,4,4,6803,4560,0,0,109,0,0,0,0,0,0,0,0,0,0,16,70,,16,74,,30,46,,,47,46,,,,4,,,4,
109037004060247_173110334319580,Leer Atentamente.,33,173110334319580_173110944319519,.,0,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGN6TVRFd09UUTBNekU1TlRFNU9qRTFPVGt4TkRjek56az0ZD,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGMyTWpNeE16STBNREEzTkRneE9qRTJNREF4T1RZAek5Eaz0ZD,,,,,,,,,,,,8992,8992,0,12012,12012,0,250,138,169,8,8,9852,7374,0,0,213,0,0,0,0,0,0,0,0,0,0,16,128,,16,130,,43,100,,,57,112,,,5,3,,5,3,
,,,173110334319580_173114624319151,Disculpen son otros libros? Por que ya nos dieron unos ,0,,,,,,,,,,,,,,110901,19866,90587,473312,28163,445149,3770,3444,4143,6,7,15331,8609,3844,537,169,0,0,0,0,0,0,0,0,0,0,42,314,19,43,329,26,286,3192,,,344,3799,,,1,2,4,1,2,3
,,,173110334319580_173120600985220,Yahir Leonardo ,0,,,,,,,,,,,,,,9335,9335,0,13166,13166,0,103,76,90,3,3,11838,8443,0,0,87,0,0,0,0,0,0,0,0,0,0,9,32,1,9,33,1,40,40,,,49,41,,,1,2,,1,2,
,,,173110334319580_173130834317530,una pregunta aparte de los que les entregaron les faltan mas libros ?,0,,,,,,,,,,,,,,8632,8632,0,12043,12043,0,157,86,102,5,5,9501,6680,0,0,118,0,0,0,0,0,0,0,0,0,0,22,80,1,23,81,1,29,59,,,36,66,,,3,2,,3,2,
,,,173110334319580_173177410979539,"Una disculpa, es para todos? Porque ya habían entregado y no nos comentaron que faltara mas libros o hubo gente que faltó de recibir libros?",0,,,,,,,,,,,,,,8737,8737,0,12192,12187,0,290,269,342,4,4,8550,6227,0,0,115,156,156,0,0,2121,2272,0,0,4394,38803,10,31,2,12,32,3,191,7,,108,220,9,,113,4,,,4,,
,,,173110334319580_173247150972565,Puro exalumnos sin padre verdad,0,,,,,,,,,,,,,,10205,10205,0,13907,13907,0,247,139,164,3,3,11016,8221,0,0,191,0,0,0,0,0,0,0,0,0,0,23,118,,23,126,,65,78,,,82,82,,,1,2,,1,2,
,,,173110334319580_176231204007493,4 de septiembre si septiembre ya paso,0,,,,,,,,,,,,,,7778,7778,0,10542,10542,0,101,68,85,2,2,9196,6796,0,0,81,0,0,0,0,0,0,0,0,0,0,14,32,,16,34,,26,44,,,38,47,,,2,,,2,,
,,,173110334319580_176231324007481,Sera 4 octubre o estoy ekibocada y apenas estamos en mayo,0,,,,,,,,,,,,,,1865,1865,0,2286,2286,0,216,171,246,2,2,2081,1686,0,0,209,0,0,0,0,468,479,0,0,0,269865,,73,,,73,,171,2,,,244,2,,,1,1,,1,1,
109037004060247_171643924466221,,3,171643924466221_171644464466167,Nosotros no pudimos entrar 3i,0,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGN4TmpRME5EWTBORFkyTVRZAM09qRTFPVGcyTmpBME5EST0ZD,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGN5TkRFNE9UQTNOekl5TURVMk9qRTFPVGc1TURFek9EST0ZD,,,,,222450205811439_229554618434331,ETA 16 Dolores Hidalgo,MjI5NTU0NjE4NDM0MzMxOjk6MAZDZD,MjI5NTU0NjE4NDM0MzMxOjk6MAZDZD,https://graph.facebook.com/v8.0/109037004060247_171643924466221/sharedposts?access_token=EAAI6zYHYg7MBAEuCcuy8EGZBuOgfOKEjjbfBufkAtrV4s3SDvxbmNRvflwxNdr0OHti5AP05rLT41BR7VqXfj4IKAx934ZCyNZAQZAlfq4rQ5fgoamEMPRnp8ZAuaA6ZCOf018U7eERrf1zAsIbZApFc2ZB6ZBTMzZC3PCNgWgjrj4iOw9PRdxTiXi6ex3FWbrjPsZD&fields=id%2Cmessage%2Cname&limit=25&after=MjI5NTU0NjE4NDM0MzMxOjk6MAZDZD,,,10637,10637,0,15082,15082,0,222,134,154,4,4,12544,8852,0,0,187,0,0,0,0,0,0,0,0,0,0,23,106,,23,106,,72,66,,,84,70,,,3,1,,3,1,
,,,171643924466221_171645294466084,"Desde 5:50 llegué al grupo y no enlazaba... Al parecer se saturó, ojalá no pase lo mismo con las clases.",1,,,,,,,,,,,,,,5178,5178,0,7182,7182,0,83,55,64,0,0,6401,4425,0,0,75,0,0,0,0,0,0,0,0,0,0,6,34,1,6,35,1,32,24,,,39,25,,,,,,,,
,,,171643924466221_171646804465933,"Yo no pude entrar, soy de 2h",0,,,,,,,,,,,,,,10097,10097,0,13707,13707,0,214,130,173,2,2,11342,8438,0,0,162,0,0,0,0,0,0,0,0,0,0,23,106,6,23,112,6,72,71,,,100,73,,,,2,,,2,
